DATAFLOW,LAST UPDATE,freq,na_item,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Belgium,2015,415538.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Belgium,2016,428467.1,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Belgium,2017,443407.2,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Belgium,2018,459491.8,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Belgium,2019,479444.9,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Belgium,2020,463750.9,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Belgium,2021,506047.2,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Belgium,2022,561309.1,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Belgium,2023,602376.3,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Belgium,2024,620271.8,p,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Bulgaria,2013,42055.5,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Bulgaria,2014,43024.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Bulgaria,2015,45797.1,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Bulgaria,2016,48751.4,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Bulgaria,2017,52501.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Bulgaria,2018,55999.7,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Bulgaria,2019,61194.4,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Bulgaria,2020,61855.6,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Bulgaria,2021,71343.9,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Bulgaria,2022,86078.2,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Bulgaria,2023,94525.1,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Bulgaria,2024,104767.2,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Switzerland,2013,541150.6,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Switzerland,2014,559049.9,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Switzerland,2015,636419.8,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Switzerland,2016,631447.6,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Switzerland,2017,625926.6,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Switzerland,2018,627171.6,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Switzerland,2019,657857.6,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Switzerland,2020,663105.6,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Switzerland,2021,710646.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Switzerland,2022,815869.1,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Switzerland,2023,858396.6,p,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Switzerland,2024,896448.7,p,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Cyprus,2013,18040.3,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Cyprus,2014,17482.8,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Cyprus,2015,17944.2,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Cyprus,2016,19013.8,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Cyprus,2017,20312.4,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Cyprus,2018,21807.8,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Cyprus,2019,23400.9,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Cyprus,2020,22373.6,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Cyprus,2021,25679.9,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Cyprus,2022,29645.4,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Cyprus,2023,32439.2,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Cyprus,2024,34770.2,p,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Czechia,2013,160470.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Czechia,2014,158991.5,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Czechia,2015,170527.3,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Czechia,2016,179145.9,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Czechia,2017,196738.7,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Czechia,2018,213505.4,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Czechia,2019,229406.7,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Czechia,2020,220310.6,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Czechia,2021,246012.3,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Czechia,2022,286976.8,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Czechia,2023,319099.1,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Czechia,2024,320741.7,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Germany,2013,2866480.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Germany,2014,2984470.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Germany,2015,3087030.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Germany,2016,3195210.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Germany,2017,3333110.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Germany,2018,3434030.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Germany,2019,3537280.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Germany,2020,3450720.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Germany,2021,3682340.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Germany,2022,3989390.0,p,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Germany,2023,4219310.0,p,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Germany,2024,4328970.0,p,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Denmark,2013,259530.9,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Denmark,2014,265635.7,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Denmark,2015,272193.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Denmark,2016,282265.1,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Denmark,2017,294355.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Denmark,2018,301017.3,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Denmark,2019,308546.2,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Denmark,2020,312118.3,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Denmark,2021,343318.6,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Denmark,2022,380567.4,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Denmark,2023,374173.6,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Denmark,2024,392400.7,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Estonia,2013,19163.2,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Estonia,2014,20365.6,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Estonia,2015,21010.9,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Estonia,2016,22189.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Estonia,2017,24316.1,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Estonia,2018,26438.5,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Estonia,2019,28472.1,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Estonia,2020,27859.3,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Estonia,2021,31453.3,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Estonia,2022,36300.9,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Estonia,2023,38353.4,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Estonia,2024,39847.7,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Greece,2013,178113.9,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Greece,2014,176071.8,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Greece,2015,175362.9,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Greece,2016,174448.2,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Greece,2017,177378.5,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Greece,2018,180615.7,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Greece,2019,185181.2,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Greece,2020,167539.5,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Greece,2021,184574.6,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Greece,2022,207008.7,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Greece,2023,224686.2,p,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Greece,2024,236736.0,p,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Spain,2013,1025652.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Spain,2014,1038949.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Spain,2015,1087112.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Spain,2016,1122967.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Spain,2017,1170024.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Spain,2018,1212276.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Spain,2019,1253710.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Spain,2020,1129214.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Spain,2021,1235474.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Spain,2022,1375863.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Spain,2023,1497761.0,p,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Spain,2024,1594330.0,p,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Finland,2013,203497.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Finland,2014,205855.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Finland,2015,210192.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Finland,2016,215717.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Finland,2017,224706.0,,
ESTAT:TEC00001(1.0),06/01/26 23:00:00,Annual,Gross domestic product at market prices,"Current prices, million euro",Finland,2018,231905.0,,
